Group0Code	Group0Desc	Group1Code	Group1Desc	Group2Code	Group2Desc	IndicatorCode	IndicatorDesc	TableId
		'01	Population	'01.01	Projected Palestinian Population  (Mid Year)	01.01.01	Projected Population in  Palestine by Governorate	T010101.px
		'01	Population	'01.01	Projected Palestinian Population  (Mid Year)	01.01.02	Projected Population in  Palestine by Locality	010102.px
		'01	Population	'01.01	Projected Palestinian Population  (Mid Year)	01.01.03	Projected Population in  Palestine  by Region and Sex	010103.px
		'01	Population	'01.02	Percentage of the population Under 15	01.02.01	Percentage  of  Population in the age group (0-14) years in  Palestine by Region	010201.px
		'01	Population	'01.02	Percentage of the population Under 15	01.02.02	Percentage  of  Population in the age group (0-14) years in  Palestine by Region and sex	010202.px
		'01	Population	'01.03	Percentage of the population 15-29 years	01.03.01	Percentage  of  Population in the age group (15-29) years in  Palestine by Region 	010301.px
		'01	Population	'01.03	Percentage of the population 15-29 years	01.03.02	Percentage  of  Population in the age group (15-29) years in  Palestine by Region and sex 	010302.px
		'01	Population	'01.04	Percentage of the population 65 years above to the total population	01.04.01	Percentage  of  Population in the age group 65 years and over  in the Palestine by Region	010401.px
		'01	Population	'01.04	Percentage of the population 65 years above to the total population	01.04.02	Percentage  of  Population in the age group  65 years and over in  Palestine by Region and sex	010402.px
		'01	Population	'01.05	Sex Ratio	01.05.01	 Sex Ratio in  Palestine by Region	010501.px
		'01	Population	'01.06	Population Growth Rate	01.06.01	The Estimated  Population Growth Rate in  Palestine by Region	010601.px
		'01	Population	'01.07	Average Household Size	01.07.01	 Average of Household Size in  Palestine by Region	010701.px
		'01	Population	'01.08	Total Fertility Rates 	01.08.01	 Total Fertility Rates  in Palestine by Region	010801.px
		'01	Population	'01.09	Crude Divorce Rate (CDR)	01.09.01	 Crude Divorce Rate in Palestine by Region	010901.px
		'01	Population	'01.09	Crude Divorce Rate (CDR)	01.09.02	Crude Divorce Rate in Palestine by Governorate	010902.px
		'01	Population	'01.10	Crude Marriage Rate (CMR)	01.10.01	 Crude Marriage Rate in Palestine by Region	011001.px
		'01	Population	'01.10	Crude Marriage Rate (CMR)	01.10.02	Crude Marriage Rate in Palestine by Governorate	011002.px
		'01	Population	'01.11	Registered marriages 	01.11.01	 Number of Registered Marriagesin  Palestine by Region	011101.px
		'01	Population	'01.11	Registered marriages 	01.11.02	Number of Registered Marriages in Palestine by Governorate	011102.px
		'01	Population	'01.12	 Median Age  at First Marriage	01.12.01	 Median Age in the Palestine at First Marriage by Sex and Governorate by Region and sex	011201.px
		'01	Population	'01.12	 Median Age  at First Marriage	01.12.02	Median Age in thePalestine at First Marriage by Sex and Governorate	011202.px
		'01	Population	'01.13	Registered divorces	01.13.01	Number of Registered Divorcesin Palestine by Region	011301.px
		'01	Population	'01.13	Registered divorces	01.13.02	Number of Registered Divorces in Palestine by Governorate	011302.px
		'01	Population	'01.14	Crude Death Rate	01.14.01	Crude Death Rate in Palestine by Region	011401.px
		'01	Population	'01.15	  Crude Birth Rate	01.15.01	  Crude Birth Rate in Palestine by Region	011501.px
		'01	Population	'01.16	 Life Expectancy at Birth	01.16.01	 Life Expectancy at Birth  in Palestine by Region	011601.px
		'01	Population	'01.16	 Life Expectancy at Birth	01.16.02	Life Expectancy at Birth  in Palestine by Region and Sex	011602.px
		'01	Population	'01.17	Dependency Ratio	01.17.01	Dependency Ratio  in Palestine by Region	011701.px
		'02	Health	'02.01	Infant  Mortality Rate per 1000 live birth	02.01.01	Infant  Mortality Rate per 1000 live birth by region	020101.px
		'02	Health	'02.01	Infant  Mortality Rate per 1000 live birth	02.01.02	Infant  Mortality Rate per 1000 live birth by Locality type	020102.px
		'02	Health	'02.01	Infant  Mortality Rate per 1000 live birth	02.01.03	Infant  Mortality Rate per 1000 live birth by sex	020103.px
		'02	Health	'02.02	Under-Five Mortality Rate per 1000 live birth	02.02.01	Under-Five Mortality Rate per 1000 live birth by region	020201.px
		'02	Health	'02.02	Under-Five Mortality Rate per 1000 live birth	02.02.02	Under-Five Mortality Rate per 1000 live birth by Locality Type	020202.px
		'02	Health	'02.02	Under-Five Mortality Rate per 1000 live birth	02.02.03	Under-Five Mortality Rate per 1000 live birth by Sex	020203.px
		'02	Health	'02.03	Percentage of Low-birth weight 	02.03.01	Low-birth weight (Below 2500 grams ), by Region	020301.px
		'02	Health	'02.04	Anemia among children	02.04.01	Anemia among children (12-15) month, by Region	020401.px
		'02	Health	'02.05	Percentage of Children Aged 1 year  Who Received Selected Vaccines	02.05.01	Percentage of Children Aged 1 year  Who Received Selected Vaccines by Type of vaccine and Region	020501.px
		'02	Health	'02.06	Beds Rates	02.06.01	Beds per 10000 person Region	020601.px
		'02	Health	'02.06	Beds Rates	02.06.02	Beds per 10000 person by governorate and Region	020602.px
		'02	Health	'02.07	Physician Rates	02.07.01	Physician per 1000 person by region	020701.px
		'02	Health	'02.08	Nurses Rates	02.08.01	Nurses per 1000 person by region 	020801.px
		'02	Health	'02.09	primary health centers 	02.09.01	Population per primary health center by Governorate and Region	020901.px
		'02	Health	'02.10	Estimated costs for treatment outside the ministry 	02.10.01	Estimated costs for treatment outside the ministry by Governorate and Region	021001.px
		'02	Health	'02.13	Persons with Chronic Disease (cancer, diabetes)	02.13.01	Percentage of Persons 18 Years and Over who Reported Having Selected Chronic Diseases (Diabetes, Cancer) and Receiving Treatment by Region	021301.px
		'02	Health	'02.14	 Percentage of disabled individuals	02.14.01	 Percentage of disabled individuals by sex and governorate	021401.px
		'02	Health	'02.15	Percentage of Children Under Five Years Who are suffer from Under-weight (Severe or Moderate)	02.15.01	Percentage of Children Under Five Years Who are suffer from Severe or Moderate Under-weight by Region	021501.px
		'02	Health	'02.15	Percentage of Children Under Five Years Who are suffer from Under-weight (Severe or Moderate)	02.15.02	Percentage of Children Under Five Years Who are suffer from Severe or Moderate Under-weight by locality Type	021502.px
		'02	Health	'02.15	Percentage of Children Under Five Years Who are suffer from Under-weight (Severe or Moderate)	02.15.03	Percentage of Children Under Five Years Who are suffer from Severe or Moderate Under-weight by Sex 	021503.px
		'02	Health	'02.16	Percentage of Children Under Five Years Who are suffer from Under-weight (Severe)	02.16.01	Percentage of Children Under Five Years Who are suffer from Severe Under-weight by Region	021601.px
		'02	Health	'02.16	Percentage of Children Under Five Years Who are suffer from Under-weight (Severe)	02.16.02	Percentage of Children Under Five Years Who are suffer from Severe  Under-weight by locality Type	021602.px
		'02	Health	'02.16	Percentage of Children Under Five Years Who are suffer from Under-weight (Severe)	02.16.03	Percentage of Children Under Five Years Who are suffer from Severe Under-weight by Sex	021603.px
		'02	Health	'02.17	Contraceptive prevalence rate	02.17.01	Percentage of children aged 12-23 months who vaccinated against measles by Region	021701.px
		'02	Health	'02.17	Contraceptive prevalence rate	02.17.02	Percentage of children aged 12-23 months who vaccinated against measles by Locality type	021702.px
		'02	Health	'02.18	Percentage of births attended by Skilled Personnel	02.18.01	Percentage of births attended by Skilled Personnel by region	021801.px
		'02	Health	'02.18	Percentage of births attended by Skilled Personnel	02.18.02	Percentage of births attended by Skilled Personnel by locality type	021802.px
		'02	Health	'02.19	Contraceptive prevalence rate	02.19.01	Percentage of Married Women Aged 15-49 Years Old Using any Family Planning Method by Region	021901.px
		'02	Health	'02.19	Contraceptive prevalence rate	02.19.02	 Percentage of Married Women Aged 15-49 Years Old Using any Family Planning Method by Locality type	021902.px
