Code	Title	EngTitle	Url	Lang	ParentCode	DataBaseName	TableId	KeyWords	IconUrl	AboutUs	AboutUsEng	ShowInHome	OrderInHome
00	الرئيسية	Home	~/Default.aspx	ar						الرئيسية			
01	السكان	Population										1	1
01.01	عدد السكان الفلسطينيين المقدر (منتصف العام)	Projected Palestinian Population  (Mid Year)			01				/NSMS//Resources/Images/ind.png	عدد السكان الفلسطينيين المقدر في فلسطين	Projected Population in the Palestine		
01.01.01	 عدد السكان المقدر في فلسطين  حسب المحافظة	Projected Population in  Palestine by Governorate			01.01	MS	T010101.px		/NSMS//Resources/Images/tblIcon.png				
01.01.02	 عدد السكان المقدر في فلسطين حسب التجمع	Projected Population in  Palestine by Locality			01.01	MS	010102.px		/NSMS//Resources/Images/tblIcon.png				
01.01.03	 عدد السكان المقدر في فلسطين منتصف العام حسب المنطقة والجنس	Projected Population in  Palestine  by Region and Sex			01.01	MS	010103.px		/NSMS//Resources/Images/tblIcon.png				
01.02	نسبة السكان أقل من 15 إلى مجمل السكان	Percentage of the population Under 15			01				/NSMS//Resources/Images/ind.png	النسبة المئوية للسكان الذين أعمارهم أقل من 15 سنة لحظة إسناد معينة	Percentage of population  under 15 years to assign certain time		
01.02.01	نسبة السكان في الفئة العمرية (0-14) سنة في فلسطين  حسب المنطقة	Percentage  of  Population in the age group (0-14) years in  Palestine by Region			01.02	MS	010201.px		/NSMS//Resources/Images/tblIcon.png				
01.02.02	نسبة السكان في الفئة العمرية (0-14) سنة في فلسطين  حسب المنطقة و الجنس	Percentage  of  Population in the age group (0-14) years in  Palestine by Region and sex			01.02	MS	010202.px		/NSMS//Resources/Images/tblIcon.png				
01.03	نسبة السكان 15-29 إلى مجمل السكان	Percentage of the population 15-29 years			01				/NSMS//Resources/Images/ind.png	النسبة المئوية للسكان الذين أعمارهم (15-29) سنة لحظة إسناد معينة	Percentage of population   (15-29) years to assign certain time		
